0.000;0.140;0.199;0.175;0.305;0.311;0.366;0.437;0.440;0.555;0.780;0.708;0.663;0.468;0.424;0.584;0.598;0.609;0.842;0.890;0.989;0.975;1.016;0.999;0.913;1.147;1.124;1.189;1.091;1.040;1.069;0.976;0.971;0.857;0.623;0.683;0.746;0.806;0.909;0.917;0.864;0.904;0.674;0.505;0.391;0.326;0.256;0.151;0.137;0.058
0.140;0.000;0.084;0.110;0.284;0.307;0.335;0.411;0.413;0.508;0.719;0.630;0.589;0.358;0.296;0.467;0.473;0.475;0.709;0.776;0.896;0.884;0.933;0.917;0.840;1.086;1.068;1.145;1.046;1.002;1.034;0.955;0.951;0.856;0.625;0.696;0.767;0.826;0.936;0.950;0.908;0.969;0.749;0.553;0.448;0.425;0.364;0.231;0.180;0.196
0.199;0.084;0.000;0.064;0.225;0.254;0.268;0.343;0.344;0.431;0.637;0.546;0.506;0.276;0.225;0.388;0.399;0.412;0.644;0.697;0.812;0.800;0.849;0.833;0.756;1.003;0.986;1.065;0.966;0.924;0.957;0.882;0.879;0.792;0.564;0.638;0.713;0.771;0.883;0.900;0.864;0.936;0.726;0.517;0.421;0.427;0.376;0.238;0.177;0.257
0.175;0.110;0.064;0.000;0.175;0.199;0.225;0.301;0.303;0.402;0.619;0.538;0.494;0.295;0.265;0.412;0.432;0.455;0.683;0.716;0.815;0.802;0.845;0.828;0.746;0.986;0.967;1.040;0.941;0.896;0.927;0.846;0.842;0.746;0.516;0.587;0.660;0.719;0.829;0.845;0.806;0.874;0.662;0.456;0.358;0.365;0.317;0.179;0.118;0.230
0.305;0.284;0.225;0.175;0.000;0.040;0.061;0.132;0.135;0.252;0.480;0.425;0.376;0.284;0.317;0.395;0.440;0.493;0.694;0.664;0.718;0.700;0.729;0.713;0.621;0.844;0.820;0.883;0.786;0.735;0.765;0.676;0.672;0.572;0.341;0.413;0.488;0.546;0.658;0.676;0.642;0.723;0.529;0.307;0.236;0.311;0.298;0.206;0.174;0.344
0.311;0.307;0.254;0.199;0.040;0.000;0.077;0.130;0.135;0.259;0.489;0.443;0.394;0.321;0.356;0.431;0.477;0.532;0.731;0.694;0.738;0.719;0.744;0.728;0.633;0.849;0.823;0.881;0.785;0.732;0.759;0.666;0.660;0.553;0.320;0.389;0.461;0.520;0.630;0.646;0.609;0.687;0.491;0.270;0.196;0.277;0.271;0.194;0.174;0.343
0.366;0.335;0.268;0.225;0.061;0.077;0.000;0.076;0.078;0.191;0.419;0.368;0.318;0.263;0.316;0.366;0.417;0.479;0.667;0.619;0.662;0.643;0.670;0.654;0.560;0.783;0.759;0.823;0.726;0.676;0.706;0.621;0.617;0.524;0.298;0.374;0.452;0.509;0.623;0.644;0.616;0.708;0.529;0.302;0.252;0.351;0.347;0.265;0.236;0.405
0.437;0.411;0.343;0.301;0.132;0.130;0.076;0.000;0.007;0.133;0.361;0.329;0.278;0.296;0.367;0.384;0.442;0.513;0.682;0.605;0.624;0.602;0.621;0.605;0.508;0.719;0.693;0.753;0.656;0.604;0.633;0.545;0.541;0.448;0.226;0.305;0.385;0.440;0.554;0.577;0.556;0.657;0.495;0.270;0.251;0.374;0.385;0.324;0.303;0.472
0.440;0.413;0.344;0.303;0.135;0.135;0.078;0.007;0.000;0.126;0.356;0.322;0.272;0.291;0.363;0.378;0.436;0.508;0.676;0.598;0.617;0.596;0.615;0.599;0.502;0.714;0.688;0.749;0.652;0.600;0.629;0.543;0.539;0.448;0.228;0.307;0.387;0.442;0.556;0.580;0.559;0.662;0.501;0.276;0.258;0.381;0.392;0.329;0.307;0.477
0.555;0.508;0.431;0.402;0.252;0.259;0.191;0.133;0.126;0.000;0.230;0.203;0.154;0.287;0.383;0.335;0.401;0.484;0.615;0.499;0.495;0.473;0.489;0.473;0.375;0.592;0.569;0.638;0.539;0.494;0.527;0.457;0.455;0.398;0.226;0.303;0.384;0.429;0.541;0.573;0.571;0.694;0.570;0.359;0.370;0.503;0.517;0.453;0.426;0.596
