0.000;1.919;1.824;1.157;1.231;1.490;1.167;1.803;1.088;1.036;1.194;1.470;1.667;1.870;1.146;1.440;1.354;1.092;1.134;1.163
1.394;0.000;1.166;1.009;1.862;1.548;1.865;1.513;1.245;1.848;1.045;1.785;1.118;1.033;1.890;1.796;1.914;1.666;1.082;1.963
1.051;1.237;0.000;1.987;1.019;1.925;1.049;1.102;1.475;1.479;1.046;1.618;1.476;1.998;1.873;1.519;1.493;1.346;1.629;1.732
1.451;1.742;1.663;0.000;1.642;1.992;1.380;1.319;1.499;1.593;1.691;1.527;1.974;1.276;1.600;1.221;1.995;1.347;1.884;1.510
1.934;1.594;1.176;1.313;0.000;1.478;1.103;1.124;1.113;1.079;1.115;1.652;1.674;1.156;1.614;1.320;1.349;1.735;1.949;1.633
1.781;1.427;1.021;1.515;1.728;0.000;1.051;1.580;1.622;1.067;1.766;1.282;1.269;1.157;1.106;1.638;1.115;1.178;1.044;1.122
1.599;1.723;1.742;1.154;1.991;1.573;0.000;1.038;1.670;1.336;1.151;1.594;1.185;1.142;1.622;1.507;1.453;1.904;1.567;1.498
1.725;1.515;1.090;1.443;1.915;1.832;1.791;0.000;1.749;1.693;1.545;1.744;1.857;1.538;1.671;1.170;1.453;1.980;1.061;1.043
1.682;1.587;1.537;1.148;1.614;1.817;1.507;1.837;0.000;1.820;1.433;1.643;1.151;1.960;1.198;1.408;1.598;1.276;1.939;1.649
1.517;1.635;1.589;1.609;1.136;1.300;1.737;1.117;1.960;0.000;1.469;1.365;1.338;1.426;1.481;1.629;1.844;1.088;1.566;1.967
1.531;1.687;1.606;1.033;1.909;1.586;1.607;1.289;1.201;1.261;0.000;1.329;1.478;1.368;1.784;1.203;1.991;1.252;1.630;1.661
1.022;1.642;1.865;1.420;1.807;1.456;1.440;1.576;1.655;1.233;1.458;0.000;1.029;1.707;1.500;1.255;1.887;1.533;1.152;1.133
1.884;1.141;1.939;1.399;1.693;1.513;1.927;1.355;1.713;1.373;1.804;1.316;0.000;1.323;1.501;1.685;1.369;1.306;1.649;1.796
1.184;1.454;1.739;1.643;1.852;1.778;1.803;1.734;1.382;1.800;1.512;1.527;1.264;0.000;1.503;1.955;1.975;1.998;1.120;1.092
1.828;1.075;1.652;1.795;1.108;1.278;1.848;1.688;1.862;1.916;1.521;1.684;1.958;1.337;0.000;1.349;1.422;1.151;1.371;1.054
1.687;1.895;1.625;1.200;1.935;1.182;1.530;1.570;1.150;1.505;1.271;1.592;1.538;1.852;1.477;0.000;1.978;1.860;1.469;1.389
1.695;1.112;1.090;1.235;1.411;1.179;1.039;1.114;1.177;1.513;1.260;1.457;1.393;1.579;1.359;1.191;0.000;1.157;1.534;1.430
1.872;1.374;1.788;1.499;1.679;1.138;1.404;1.286;1.883;1.999;1.186;1.236;1.427;1.931;1.707;1.209;1.805;0.000;1.101;1.975
1.881;1.779;1.064;1.038;1.289;1.521;1.066;1.697;1.837;1.261;1.806;1.046;1.652;1.808;1.713;1.364;1.390;1.419;0.000;1.181
1.325;1.852;1.776;1.990;1.809;1.229;1.548;1.001;1.154;1.427;1.450;1.404;1.288;1.047;1.843;1.555;1.608;1.129;1.843;0.000
