0.000;1.200;1.311;1.278;1.145;1.281;1.831;1.643;1.938;1.329;1.403;1.883
1.124;0.000;1.293;1.944;1.278;1.495;1.496;1.815;1.242;1.334;1.564;1.915
1.790;1.115;0.000;1.972;1.152;1.534;1.467;1.106;1.236;1.282;1.760;1.818
1.933;1.719;1.383;0.000;1.043;1.213;1.632;1.282;1.845;1.231;1.794;1.238
1.584;1.044;1.971;1.227;0.000;1.492;1.778;1.218;1.467;1.287;1.168;1.226
1.334;1.023;1.792;1.268;1.459;0.000;1.105;1.198;1.835;1.316;1.432;1.755
1.183;1.248;1.474;1.979;1.414;1.083;0.000;1.985;1.149;1.581;1.952;1.235
1.495;1.246;1.046;1.733;1.158;1.049;1.637;0.000;1.979;1.382;1.885;1.786
1.306;1.340;1.301;1.734;1.150;1.707;1.202;1.752;0.000;1.030;1.513;1.749
1.895;1.140;1.903;1.715;1.388;1.363;1.241;1.629;1.510;0.000;1.104;1.751
1.829;1.742;1.666;1.327;1.760;1.814;1.995;1.090;1.077;1.952;0.000;1.372
1.350;1.691;1.784;1.542;1.101;1.892;1.487;1.806;1.200;1.332;1.398;0.000
