0.000;0.527;0.570;0.539;0.473;0.426;0.592;0.384;0.359;0.191;0.573;0.402;0.571;0.203;0.401;0.252;0.370;0.259;0.126;0.517;0.429;0.484;0.133;0.499;0.287;0.473;0.694;0.335;0.555;0.431;0.383;0.638;0.226;0.453;0.569;0.596;0.455;0.508;0.495;0.457;0.154;0.503;0.615;0.541;0.494;0.303;0.489;0.375;0.230;0.398
0.527;0.000;0.767;0.087;0.384;0.934;0.224;0.463;0.685;0.706;0.499;0.927;0.569;0.479;0.814;0.765;0.772;0.759;0.629;0.965;0.436;0.902;0.633;0.677;0.769;0.461;0.716;0.752;1.069;0.957;0.875;0.140;0.481;0.946;0.176;1.102;0.146;1.034;0.487;0.132;0.492;0.921;0.911;0.456;0.041;0.463;0.386;0.339;0.353;0.305
0.570;0.767;0.000;0.837;0.959;0.570;0.957;0.305;0.227;0.529;0.344;0.662;0.261;0.758;0.937;0.529;0.304;0.491;0.501;0.430;0.334;1.006;0.495;1.066;0.788;0.990;0.237;0.879;0.674;0.726;0.843;0.906;0.372;0.527;0.913;0.664;0.623;0.749;1.017;0.636;0.715;0.356;1.175;0.365;0.764;0.333;0.972;0.856;0.714;0.463
0.539;0.087;0.837;0.000;0.315;0.958;0.137;0.532;0.738;0.726;0.582;0.941;0.650;0.458;0.787;0.786;0.817;0.785;0.652;1.006;0.509;0.873;0.656;0.621;0.759;0.395;0.798;0.729;1.091;0.966;0.864;0.099;0.528;0.976;0.089;1.128;0.224;1.046;0.419;0.209;0.480;0.967;0.862;0.538;0.073;0.522;0.315;0.289;0.339;0.377
0.473;0.384;0.959;0.315;0.000;0.883;0.240;0.675;0.792;0.654;0.795;0.828;0.842;0.291;0.548;0.713;0.833;0.728;0.599;0.990;0.680;0.624;0.605;0.315;0.575;0.081;0.991;0.505;0.999;0.833;0.672;0.381;0.591;0.919;0.259;1.047;0.462;0.917;0.103;0.450;0.338;0.973;0.564;0.751;0.346;0.627;0.017;0.104;0.254;0.562
0.426;0.934;0.570;0.958;0.883;0.000;1.018;0.613;0.381;0.236;0.788;0.118;0.739;0.593;0.538;0.174;0.272;0.174;0.307;0.199;0.673;0.568;0.303;0.805;0.391;0.865;0.792;0.510;0.137;0.177;0.377;1.055;0.486;0.062;0.994;0.170;0.833;0.180;0.882;0.839;0.545;0.251;0.792;0.778;0.906;0.548;0.899;0.793;0.654;0.720
0.592;0.224;0.957;0.137;0.240;1.018;0.000;0.653;0.838;0.783;0.717;0.986;0.782;0.466;0.770;0.844;0.907;0.849;0.714;1.088;0.636;0.852;0.719;0.555;0.770;0.319;0.931;0.719;1.147;1.003;0.873;0.154;0.626;1.043;0.049;1.188;0.357;1.086;0.337;0.343;0.499;1.056;0.804;0.672;0.206;0.632;0.233;0.261;0.368;0.504
0.384;0.463;0.305;0.532;0.675;0.613;0.653;0.000;0.260;0.452;0.193;0.660;0.189;0.526;0.785;0.488;0.372;0.461;0.387;0.567;0.060;0.868;0.385;0.834;0.662;0.718;0.327;0.720;0.746;0.713;0.746;0.603;0.162;0.599;0.608;0.760;0.320;0.767;0.746;0.333;0.494;0.507;0.990;0.170;0.459;0.082;0.688;0.576;0.449;0.160
0.359;0.685;0.227;0.738;0.792;0.381;0.838;0.260;0.000;0.302;0.413;0.456;0.359;0.558;0.711;0.307;0.116;0.270;0.276;0.307;0.317;0.779;0.270;0.858;0.561;0.811;0.419;0.654;0.505;0.517;0.617;0.822;0.212;0.354;0.800;0.511;0.553;0.553;0.836;0.563;0.511;0.247;0.952;0.409;0.670;0.225;0.808;0.688;0.539;0.405
0.191;0.706;0.529;0.726;0.654;0.236;0.783;0.452;0.302;0.000;0.644;0.225;0.616;0.368;0.417;0.061;0.252;0.077;0.078;0.347;0.509;0.479;0.076;0.619;0.263;0.643;0.708;0.366;0.366;0.268;0.316;0.823;0.298;0.265;0.759;0.405;0.617;0.335;0.662;0.621;0.318;0.351;0.667;0.623;0.676;0.374;0.670;0.560;0.419;0.524
0.573;0.499;0.344;0.582;0.795;0.788;0.717;0.193;0.413;0.644;0.000;0.845;0.085;0.695;0.973;0.676;0.529;0.646;0.580;0.712;0.144;1.057;0.577;0.996;0.854;0.850;0.218;0.907;0.917;0.900;0.940;0.627;0.355;0.766;0.668;0.924;0.360;0.950;0.879;0.374;0.669;0.644;1.168;0.045;0.511;0.275;0.805;0.704;0.600;0.233
0.402;0.927;0.662;0.941;0.828;0.118;0.986;0.660;0.456;0.225;0.845;0.000;0.806;0.538;0.432;0.175;0.358;0.199;0.303;0.317;0.719;0.455;0.301;0.716;0.295;0.802;0.874;0.412;0.175;0.064;0.265;1.040;0.516;0.179;0.967;0.230;0.842;0.110;0.815;0.846;0.494;0.365;0.683;0.829;0.896;0.587;0.845;0.746;0.619;0.746
0.571;0.569;0.261;0.650;0.842;0.739;0.782;0.189;0.359;0.616;0.085;0.806;0.000;0.714;0.971;0.642;0.473;0.609;0.559;0.647;0.163;1.053;0.556;1.021;0.843;0.891;0.151;0.906;0.864;0.864;0.922;0.701;0.346;0.712;0.734;0.867;0.426;0.908;0.920;0.440;0.682;0.577;1.179;0.118;0.577;0.268;0.853;0.746;0.630;0.283
0.203;0.479;0.758;0.458;0.291;0.593;0.466;0.526;0.558;0.368;0.695;0.538;0.714;0.000;0.335;0.425;0.573;0.443;0.322;0.711;0.555;0.424;0.329;0.311;0.305;0.276;0.851;0.273;0.708;0.546;0.409;0.554;0.391;0.631;0.457;0.756;0.466;0.630;0.295;0.462;0.050;0.703;0.478;0.656;0.439;0.454;0.308;0.211;0.128;0.479
0.401;0.814;0.937;0.787;0.548;0.538;0.770;0.785;0.711;0.417;0.973;0.432;0.971;0.335;0.000;0.440;0.669;0.477;0.436;0.722;0.829;0.090;0.442;0.318;0.156;0.488;1.089;0.067;0.598;0.399;0.176;0.879;0.626;0.597;0.771;0.656;0.797;0.473;0.489;0.793;0.332;0.747;0.256;0.940;0.773;0.704;0.561;0.510;0.463;0.783
